Player,Age,Pos,Tm,G,MP,FG,FGA,FGp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,BLK,PTS,PTS_per_game,Salary,TRB_per_game,ORB_per_game,BLK_per_game
John Henson,28,C,MIL,14,188,31,67,0.4626865671641791,20,36,0.5555555555555556,6,10,0.6,16,55,71,11,79,5.642857142857143,10577466,5.071428571428571,1.1428571428571428,0.7857142857142857
Johnathan Williams,23,C,LAL,24,372,65,110,0.5909090909090909,65,108,0.6018518518518519,27,48,0.5625,48,51,99,7,157,6.541666666666667,127250,4.125,2,0.2916666666666667
Jordan Bell,24,C,GSW,68,788,99,192,0.515625,99,190,0.5210526315789473,25,41,0.6097560975609756,55,129,184,51,223,3.2794117647058822,1378242,2.7058823529411766,0.8088235294117647,0.75
Justin Patton,21,C,PHI,3,21,2,7,0.2857142857142857,2,5,0.4,1,2,0.5,2,4,6,0,5,1.6666666666666667,2667600,2,0.6666666666666666,0
Jusuf Nurkic,24,C,POR,72,1974,420,826,0.5084745762711864,417,797,0.5232120451693852,282,365,0.7726027397260274,243,505,748,103,1125,15.625,11111111,10.38888888888889,3.375,1.4305555555555556
Karl-Anthony Towns,23,C,MIN,77,2545,681,1314,0.5182648401826484,539,959,0.5620437956204379,376,450,0.8355555555555556,263,691,954,125,1880,24.415584415584416,7839435,12.38961038961039,3.4155844155844157,1.6233766233766234
Kevon Looney,22,C,GSW,80,1481,217,347,0.6253602305475504,216,337,0.6409495548961425,65,105,0.6190476190476191,194,223,417,53,500,6.25,1567007,5.2125,2.425,0.6625
Khem Birch,26,C,ORL,50,643,91,151,0.6026490066225165,91,150,0.6066666666666667,58,83,0.6987951807228916,79,111,190,29,240,4.8,1378242,3.8,1.58,0.58
Kyle O'Quinn,28,C,IND,45,371,69,136,0.5073529411764706,68,124,0.5483870967741935,17,21,0.8095238095238095,29,90,119,25,156,3.466666666666667,4449000,2.6444444444444444,0.6444444444444445,0.5555555555555556
LaMarcus Aldridge,33,C,SAS,81,2687,684,1319,0.5185746777862017,674,1277,0.5277995301487862,349,412,0.8470873786407767,251,493,744,107,1727,21.320987654320987,22347015,9.185185185185185,3.0987654320987654,1.3209876543209877
Larry Nance,26,C,CLE,67,1795,249,479,0.5198329853862212,216,381,0.5669291338582677,96,134,0.7164179104477612,168,384,552,40,627,9.35820895522388,2272390,8.238805970149254,2.5074626865671643,0.5970149253731343
