Player,Age,Pos,Tm,G,GS,MP,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,PTS_per_game,PTS_per_min,ASTTOVR,Salary
Kyle Korver,37,"PF, SG","CLE, UTA",70,0,1334,201,483,0.4161490683229814,138,348,0.39655172413793105,63,135,0.4666666666666667,60,73,0.821917808219178,9,153,162,81,25,12,59,106,600,0.15113871635610765,8.571428571428571,0.4497751124437781,1.3728813559322033,7560000
Kyle Kuzma,23,PF,LAL,70,68,2314,496,1087,0.4563017479300828,128,422,0.3033175355450237,368,665,0.5533834586466165,188,250,0.752,60,322,382,178,41,26,133,170,1308,0.22999080036798528,18.685714285714287,0.5652549697493517,1.3383458646616542,1689840
Kyle Lowry,32,PG,TOR,65,65,2213,304,739,0.41136671177266576,157,453,0.3465783664459161,147,286,0.513986013986014,161,194,0.8298969072164949,41,271,312,564,91,31,182,166,926,0.2625169147496617,14.246153846153845,0.4184365115228197,3.098901098901099,32700000
Kyle O'Quinn,28,C,IND,45,3,371,69,136,0.5073529411764706,1,12,0.08333333333333333,68,124,0.5483870967741935,17,21,0.8095238095238095,29,90,119,56,9,25,31,68,156,0.15441176470588236,3.466666666666667,0.42048517520215634,1.8064516129032258,4449000
Kyrie Irving,26,PG,BOS,67,67,2214,604,1241,0.48670427074939565,174,434,0.4009216589861751,430,807,0.5328376703841388,214,245,0.8734693877551021,71,264,335,464,103,34,172,167,1596,0.19742143432715553,23.82089552238806,0.7208672086720868,2.697674418604651,20099189
LaMarcus Aldridge,33,C,SAS,81,81,2687,684,1319,0.5185746777862017,10,42,0.23809523809523808,674,1277,0.5277995301487862,349,412,0.8470873786407767,251,493,744,194,43,107,144,179,1727,0.312357846853677,21.320987654320987,0.6427242277633048,1.3472222222222223,22347015
Lance Stephenson,28,SG,LAL,68,3,1123,184,432,0.42592592592592593,73,197,0.37055837563451777,111,235,0.4723404255319149,50,73,0.684931506849315,32,183,215,140,41,7,86,111,491,0.16898148148148148,7.220588235294118,0.43722172751558325,1.627906976744186,4449000
Lance Thomas,30,PF,NYK,46,17,783,78,197,0.39593908629441626,22,79,0.27848101265822783,56,118,0.4745762711864407,27,36,0.75,21,96,117,27,17,7,24,83,205,0.18274111675126903,4.456521739130435,0.26181353767560667,1.125,7119650
Landry Shamet,21,"SG, SG","LAC, PHI",79,27,1802,240,557,0.43087971274685816,167,396,0.4217171717171717,73,161,0.453416149068323,75,93,0.8064516129032258,21,113,134,117,37,10,45,155,722,0.16696588868940754,9.139240506329115,0.40066592674805773,2.6,1705920
Langston Galloway,27,SG,DET,80,4,1745,228,587,0.38841567291311757,135,380,0.35526315789473684,93,207,0.4492753623188406,81,96,0.84375,49,122,171,85,37,8,24,135,672,0.1635434412265758,8.4,0.3851002865329513,3.5416666666666665,7000000
Larry Nance,26,C,CLE,67,30,1795,249,479,0.5198329853862212,33,98,0.336734693877551,216,381,0.5669291338582677,96,134,0.7164179104477612,168,384,552,214,100,40,97,192,627,0.2797494780793319,9.35820895522388,0.3493036211699164,2.2061855670103094,2272390
Lauri Markkanen,21,PF,CHI,52,51,1682,342,795,0.43018867924528303,120,332,0.3614457831325301,222,463,0.4794816414686825,170,195,0.8717948717948718,74,396,470,75,37,33,85,122,974,0.24528301886792453,18.73076923076923,0.5790725326991677,0.8823529411764706,4536120
LeBron James,34,SF,LAL,55,55,1937,558,1095,0.5095890410958904,111,327,0.3394495412844037,447,768,0.58203125,278,418,0.6650717703349283,57,408,465,454,72,33,197,94,1505,0.3817351598173516,27.363636363636363,0.7769747031491998,2.3045685279187818,35654150
Lonnie Walker,20,SG,SAS,17,0,118,16,46,0.34782608695652173,5,13,0.38461538461538464,11,33,0.3333333333333333,8,10,0.8,0,17,17,9,7,3,4,7,45,0.21739130434782608,2.6470588235294117,0.3813559322033898,2.25,2360160
Lonzo Ball,21,PG,LAL,47,45,1423,185,456,0.4057017543859649,75,228,0.32894736842105265,110,228,0.4824561403508772,20,48,0.4166666666666667,54,197,251,255,69,19,103,114,465,0.10526315789473684,9.893617021276595,0.32677442023893183,2.4757281553398056,7461960
Lorenzo Brown,28,PG,TOR,26,0,212,23,71,0.323943661971831,6,28,0.21428571428571427,17,43,0.3953488372093023,3,3,1,5,26,31,28,12,5,16,22,55,0.04225352112676056,2.1153846153846154,0.25943396226415094,1.75,800000
